Tester,SystemName,Nodes,JVMVendor,CPUDescription,MHz,Chips,Cores,TotalThreads,TotalMemory,SSJ,AVG,AVGidle,Overall
Acer Incorporated,Acer AT350 F2,1,Oracle Corporation,Intel Xeon E5-2640,2500,2,12,24,32,"1,006,865",255,83.5,"3,031"
Acer Incorporated,Acer AT350 F2,1,Oracle Corporation,Intel Xeon E5-2665,2400,2,16,32,128,"1,365,171",414,96.6,"2,824"
Acer Incorporated,Acer AT350 F2,1,Oracle Corporation,Intel Xeon E5-2630,2300,2,12,24,128,"961,609",323,96,"2,330"
Acer Incorporated,Acer AT350 F2,1,Oracle Corporation,Intel Xeon E5-2640,2500,2,12,24,128,"1,028,960",327,98.2,"2,464"
Acer Incorporated,Acer AT350 F2,1,Oracle Corporation,Intel Xeon E5-2665,2400,2,16,32,128,"1,347,230",409,103,"2,705"
Acer Incorporated,"Acer AW2000h-AW170h F2
",4,Oracle Corporation,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,8,64,128,128,"5,286,503","1,275",331,"3,501"
Acer Incorporated,"Acer AW2000h-Aw170h F2
",4,IBM Corporation,Intel Xeon E5-2670 2.6 GHz (Intel Turbo Boost Technology up to 3.30 GHz),2600,8,64,128,512,"6,419,253","1,700",364,"3,400"
Acer Incorporated,Acer AR580 F2,1,IBM Corporation,Intel Xeon E5-4650 2.7 GHz (Intel Turbo Boost Technology up to 3.30 GHz),2700,4,32,64,32,"2,980,035",667,134,"4,134"
Acer Incorporated,Acer AR585 F1,1,IBM Corporation,AMD Opteron 6380,2500,4,64,64,64,"3,151,008",581,149,"4,096"
Acer Incorporated,Altos R380 F2,1,IBM Corporation,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,436,606",316,71.5,"4,036"
Acer Incorporated,Altos R360 F2,1,IBM Corporation,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,429,746",275,80.4,"4,142"
Acer Incorporated,Acer AR585 F1,1,IBM Corporation,AMD Opteron 6344,2600,4,48,48,64,"2,482,740",511,145,"3,739"
Acer Incorporated,Acer AR580 F2,1,IBM Corporation,Intel Xeon E5-4607 2.2 GHz,2200,4,24,48,64,"1,646,236",368,109,"3,659"
Acer Incorporated,Altos R380 F2,1,IBM Corporation,Intel Xeon E5-2650,2200,2,16,32,32,"1,292,540",215,52.9,"5,268"
Acer Incorporated,Altos R380 F2,1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,32,"1,426,072",252,63.7,"5,227"
Acer Incorporated,Altos R360 F2,1,IBM Corporation,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,432,448",258,72.4,"4,909"
Acer Incorporated,Altos R360 F2,1,IBM Corporation,Intel Xeon E5-2650 2.0 GHz (Intel Turbo Boost Technology up to 2.80 GHz),2000,2,16,32,24,"1,297,515",223,64,"4,893"
Acer Incorporated,Altos T350 F2,1,IBM Corporation,Intel Xeon E5-2650 2.0 GHz (Intel Turbo Boost Technology up to 2.80 GHz),2000,2,16,32,24,"1,310,610",219,56.1,"5,146"
Acer Incorporated,Altos T350 F2,1,IBM Corporation,Intel Xeon E5-2660 2.2 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,460,890",255,68.5,"5,091"
Apple Inc.,"Xserve3,1",1,Sun Microsystems Inc.,Intel(R) Xeon(R) CPU X5570,2930,2,8,16,18,"227,974",334,173,464
Apple Inc.,"Xserve2,1",1,Sun Microsystems Inc.,Intel(R) Xeon(R) CPU E5472,3000,2,8,32,16,"141,739",353,213,245
Bull SAS,"NovaScale R440 F2 (Intel Xeon X5670, 2.93 GHz)",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"911,120",247,60.4,"2,831"
"Cisco Systems, Inc.
",UCS C220 M3,1,IBM Corporation,Intel Xeon E5-2660,2200,2,16,32,24,"1,443,280",261,59.5,"4,904"
"Colfax International
",CX2266-N2,1,"BEA Systems, Inc",AMD Opteron 2216HE,2400,2,4,4,16,"95,853",276,164,203
DEPO Computers,DEPO Storm 3350V2,1,Oracle Corporation,Intel Xeon E5-2660 v2,2200,2,20,40,32,"1,634,387",232,97.1,"5,244"
DEPO Computers,DEPO Race X340H,1,Oracle Corporation,Intel Core i5-4570,3200,1,4,4,16,322 278,131,"83,2","1,469"
Dell Inc.,PowerEdge 2950 III (Intel Xeon E5440),1,"BEA Systems, Inc.",Intel Xeon E5440,2833,2,8,8,16,"305,413",276,157,682
Dell Inc.,PowerEdge 1950 III (Intel Xeon E5440),1,"BEA Systems, Inc.",Intel Xeon E5440,2833,2,8,8,8,"284,028",244,143,712
Dell Inc.,PowerEdge 2950 III (Intel Xeon E5440),1,"BEA Systems, Inc.",Intel Xeon E5440,2833,2,8,8,16,"298,188",254,147,719
Dell Inc.,PowerEdge R300,1,"BEA Systems, Inc.",Intel Xeon L5410,2330,1,4,4,8,"155,342",117,75.1,800
Dell Inc.,PowerEdge Energy Smart 1950 III (Intel Xeon L5420),1,"BEA Systems, Inc.",Intel Xeon L5420,2500,2,8,8,8,"282,904",226,143,744
Dell Inc.,"PowerEdge 2970 (AMD Opteron 2356, 2.30 GHz)",1,Oracle Inc.,AMD Opteron 2356,2300,2,8,8,16,"247,542",302,139,545
Dell Inc.,"PowerEdge 2970 (AMD Opteron 2382, 2.60 GHz)",1,Oracle Inc.,AMD Opteron 2382,2600,2,8,8,16,"331,257",258,127,851
Dell Inc.,"PowerEdge R610 (Intel Xeon X5570, 2.93 GHz)",1,Oracle Corporation,Intel Xeon X5570,2933,2,8,16,12,"550,081",236,63.2,"1,844"
Dell Inc.,"PowerEdge R710 (Intel Xeon X5570, 2.93 GHz)",1,Oracle Corporation,Intel Xeon X5570,2933,2,8,16,8,"540,907",220,65,"1,860"
Dell Inc.,"PowerEdge R610 (Intel Xeon L5530, 2.40 GHz)",1,Oracle Corporation,Intel Xeon L5530,2400,2,8,16,8,"468,471",172,60,"1,930"
Dell Inc.,"PowerEdge R710 (Intel Xeon L5530, 2.40 GHz)",1,Oracle Corporation,Intel Xeon L5530,2400,2,8,16,8,"470,740",172,62.8,"1,918"
Dell Inc.,"PowerEdge R610 (Intel Xeon X5670, 2.93 GHz)",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"914,076",244,62.3,"2,938"
Dell Inc.,"PowerEdge R710 (Intel Xeon X5670, 2.93 GHz)",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"910,681",236,64.6,"2,963"
Dell Inc.,"PowerEdge R815 (AMD Opteron 6174, 2.20 GHz)",1,IBM Corporation,AMD Opteron 6174,2200,2,24,24,16,"926,676",279,100,"2,357"
Dell Inc.,"PowerEdge R815 (AMD Opteron 6174, 2.20 GHz)",1,IBM Corporation,AMD Opteron 6174,2200,4,48,48,32,"1,840,454",509,142,"2,696"
Dell Inc.,"PowerEdge R610 (Intel Xeon X5670, 2.93 GHz)",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"913,806",242,61.9,"3,004"
Dell Inc.,"PowerEdge R710 (Intel Xeon X5670, 2.93 GHz)",1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"910,978",232,64,"3,034"
Dell Inc.,"PowerEdge M610
",16,IBM Corporation,Intel Xeon X5670,2933,32,192,384,192,"14,440,896","3,716",877,"3,094"
Dell Inc.,PowerEdge R510,1,IBM Corporation,Intel Xeon X5670,2933,2,12,24,12,"925,878",266,56.9,"2,745"
Dell Inc.,"PowerEdge M915
",8,IBM Corporation,AMD Opteron 6176 (2.30 GHz),2300,32,384,384,256,"14,793,524","4,219","1,068","2,716"
Dell Inc.,"PowerEdge M710HD
",16,Oracle Corporation,Intel Xeon X5675 (3.06 GHz),3060,32,192,384,384,"15,173,592","3,780",972,"3,162"
Dell Inc.,"PowerEdge M610
",16,Oracle Corporation,Intel Xeon X5675 (3.06 GHz),3060,32,192,384,384,"14,760,777","3,504",873,"3,348"
Dell Inc.,"PowerEdge C6100 (Intel Xeon X5675, 3.06 GHz)
",4,Oracle Corporation,Intel Xeon 5675,3067,8,48,96,64,"3,662,415",895,227,"3,281"
Dell Inc.,"Dell PowerEdge R710 (Intel Xeon X5675, 3.06 GHz)",1,Oracle Corporation,Intel Xeon X5675,3066,2,12,24,24,"955,936",227,62.2,"3,214"
Dell Inc.,"PowerEdge M915
",8,IBM Corporation,AMD Opteron 6276 (2.30 GHz),2300,32,512,512,512,"17,898,948","4,847","1,107","2,919"
Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2670, 2.6 GHz)",1,Oracle Corporation,Intel Xeon E5-2670 2.60 GHz,2600,2,16,32,24,"1,236,124",243,54.1,"4,446"
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2670, 2.6 GHz)",1,Oracle Corporation,Intel Xeon E5-2670 2.60 GHz,2600,2,16,32,24,"1,238,932",231,51,"4,658"
Dell Inc.,"PowerEdge T620 (Intel Xeon E5-2670, 2.6 GHz)",1,Oracle Corporation,Intel Xeon E5-2670 2.60 GHz,2600,2,16,32,24,"1,236,311",227,50.2,"4,730"
Dell Inc.,"PowerEdge M620 (Intel Xeon E5-2670, 2.6 GHz)
",16,Oracle Corporation,Intel Xeon E5-2670 2.60 GHz,2600,32,256,512,384,"20,208,781","3,881",828,"4,649"
Dell Inc.,"PowerEdge R620 (Intel Xeon E5-2660, 2.2 GHz)",1,Oracle Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,304,143",263,56.1,"4,577"
Dell Inc.,"PowerEdge R720 (Intel Xeon E5-2660, 2.2 GHz)",1,Oracle Corporation,Intel Xeon E5-2660 2.20 GHz (Intel Turbo Boost Technology up to 3.00 GHz),2200,2,16,32,24,"1,308,474",250,52.7,"4,836"
