TestSponsor,SystemName,BaseCopies,EnabledCores,EnabledChips,Threads/Core,Base,Peak,EnergyBase,EnergyPeak
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.30 GHz, Intel Xeon E-2136)",12,6,1,2,47.9&nbsp;,50.2&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.60 GHz, Intel Xeon E-2144G)",8,4,1,2,34.5&nbsp;,35.9&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.50 GHz, Intel Xeon E-2146G)",12,6,1,2,47.0&nbsp;,49.2&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS100-E10(P11C-M/4L) Server System (3.80 GHz, Intel Xeon E-2174G)",8,4,1,2,35.1&nbsp;,36.5&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.25 GHz, AMD EPYC 7742",128,64,1,2,353&nbsp;&nbsp;&nbsp;,385&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.40 GHz, Intel Xeon Platinum 8260M)",96,48,2,2,309&nbsp;&nbsp;&nbsp;,322&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.60 GHz, Intel Xeon Gold 6240M)",72,36,2,2,248&nbsp;&nbsp;&nbsp;,258&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (2.10 GHz, Intel Xeon Gold 6252)",96,48,2,2,287&nbsp;&nbsp;&nbsp;,298&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS ESC8000 G4(Z11PG-D24) Server System (3.80 GHz, Intel Xeon Platinum 8256)",16,8,2,2,68.3&nbsp;,70.2&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.00 GHz, AMD EPYC 7702P",128,64,1,2,344&nbsp;&nbsp;&nbsp;,376&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.90 GHz, AMD EPYC 7542",64,32,1,2,223&nbsp;&nbsp;&nbsp;,241&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.80 GHz, AMD EPYC 7402P",48,24,1,2,177&nbsp;&nbsp;&nbsp;,189&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.50 GHz, AMD EPYC 7502P",64,32,1,2,218&nbsp;&nbsp;&nbsp;,235&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.70 GHz, Intel Xeon E-2288G)",16,8,1,2,61.7&nbsp;,64.9&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.25 GHz, AMD EPYC 7742",256,128,2,2,701&nbsp;&nbsp;&nbsp;,769&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 3.00 GHz, AMD EPYC 7302P",32,16,1,2,124&nbsp;&nbsp;&nbsp;,131&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS500A-E10(KRPA-U16) Server System 2.30 GHz, AMD EPYC 7352",48,24,1,2,171&nbsp;&nbsp;&nbsp;,182&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.00 GHz, AMD EPYC 7702",256,128,2,2,681&nbsp;&nbsp;&nbsp;,742&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.80 GHz, Intel Xeon E-2276G)",12,6,1,2,51.0&nbsp;,53.5&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (3.40 GHz, Intel Xeon E-2278G)",16,8,1,2,61.4&nbsp;,64.6&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (4.00 GHz, Intel Xeon E-2286G)",12,6,1,2,51.1&nbsp;,53.6&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS300-E10(P11C-C/4L) Server System (4.00 GHz, Intel Xeon E-2274G)",8,4,1,2,35.8&nbsp;,37.2&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.80 GHz, AMD EPYC 7402",96,48,2,2,353&nbsp;&nbsp;&nbsp;,376&nbsp;&nbsp;&nbsp;,--,--
ASUSTeK Computer Inc.,"ASUS RS700A-E9V2(KNPP-D32-R) Server System 2.50 GHz, AMD EPYC 7502",128,64,2,2,437&nbsp;&nbsp;&nbsp;,471&nbsp;&nbsp;&nbsp;,--,--
