,TestSponsor,SystemName,AutoParallel,EnabledCores,EnabledChips,Cores/Chips,Threads/Core,Base,Peak
1358,Dell Inc.,"PowerEdge M610 (Intel Xeon E5530, 2.40 GHz)",Yes,8,2,4,2,30.5,32.3
1359,Dell Inc.,"PowerEdge R610 (Intel Xeon X5570, 2.93 GHz)",Yes,8,2,4,2,37.4,39.6
1360,Dell Inc.,"PowerEdge R610 (Intel Xeon X5560, 2.80 GHz)",Yes,8,2,4,2,36.2,38.2
1361,Dell Inc.,"PowerEdge M610 (Intel Xeon E5504, 2.00 GHz)",Yes,8,2,4,1,22.5,23.8
1362,Dell Inc.,"PowerEdge M610 (Intel Xeon E5506, 2.13 GHz)",Yes,8,2,4,1,23.2,24.6
1363,Dell Inc.,"PowerEdge M710 (Intel Xeon E5506, 2.13 GHz)",Yes,8,2,4,1,23.6,25.1
1364,Dell Inc.,"PowerEdge R710 (Intel Xeon E5540, 2.53 GHz)",Yes,8,2,4,2,31.5,33.6
1365,Dell Inc.,"PowerEdge M710 (Intel Xeon E5520, 2.27 GHz)",Yes,8,2,4,2,29.4,31.2
1366,Dell Inc.,"PowerEdge R710 (Intel Xeon X5550, 2.67 GHz)",Yes,8,2,4,2,35.0,37.2
1367,Dell Inc.,"PowerEdge R610 (Intel Xeon X5550, 2.67 GHz)",Yes,8,2,4,2,35.1,37.3
1368,Dell Inc.,"PowerEdge T610 (Intel Xeon E5520, 2.27 GHz)",Yes,8,2,4,2,29.4,31.2
1369,Dell Inc.,"PowerEdge T610 (Intel Xeon E5530, 2.40 GHz)",Yes,8,2,4,2,30.4,32.3
1370,Dell Inc.,"PowerEdge M610 (Intel Xeon E5502, 1.86 GHz)",Yes,4,2,2,1,20.5,21.6
1371,Dell Inc.,"PowerEdge R610 (Intel Xeon E5520, 2.26 GHz)",Yes,8,2,4,2,29.4,31.2
1372,Dell Inc.,"PowerEdge T610 (Intel Xeon E5506, 2.13 GHz)",Yes,8,2,4,1,23.5,25.2
1373,Dell Inc.,"PowerEdge R805 (AMD Opteron 2389, 2.90 GHz)",Yes,8,2,4,1,19.6,24.3
1374,Dell Inc.,"PowerEdge M805 (AMD Opteron 2381 HE, 2.50 GHz)",Yes,8,2,4,1,17.5,21.6
1375,Dell Inc.,"PowerEdge R805 (AMD Opteron 2387, 2.80 GHz)",Yes,8,2,4,1,19.2,23.8
1376,Dell Inc.,"PowerEdge M805 (AMD Opteron 2379 HE, 2.40 GHz)",Yes,8,2,4,1,17.0,21.2
1377,Dell Inc.,"PowerEdge R905 (AMD Opteron 8387, 2.80 GHz)",Yes,16,4,4,1,19.0,23.4
1378,Dell Inc.,"PowerEdge R905 (AMD Opteron 8389, 2.90 GHz)",Yes,16,4,4,1,19.3,23.7
1379,Dell Inc.,"PowerEdge M905 (AMD Opteron 8379 HE, 2.40 GHz)",Yes,16,4,4,1,16.7,20.6
1380,Dell Inc.,"PowerEdge M905 (AMD Opteron 8381 HE, 2.50 GHz)",Yes,16,4,4,1,17.4,21.5
1381,Dell Inc.,"PowerEdge M805 (AMD Opteron 2393 SE, 3.10 GHz)",Yes,8,2,4,1,20.5,25.4
1382,Dell Inc.,"PowerEdge M905 (AMD Opteron 8393 SE, 3.10 GHz)",Yes,16,4,4,1,20.2,25.3
1383,Dell Inc.,"PowerEdge M710 (Intel Xeon E5504, 2.00 GHz)",Yes,8,2,4,1,22.5,24.1
1384,Dell Inc.,"PowerEdge M905 (AMD Opteron 8393 SE, 3.10 GHz)",Yes,16,4,4,1,19.9,24.5
1385,Dell Inc.,"PowerEdge R610 (Intel Xeon E5504, 2.00 GHz)",Yes,8,2,4,1,22.6,24.0
1386,Dell Inc.,"PowerEdge R610 (Intel Xeon E5530, 2.40 GHz)",Yes,8,2,4,2,30.7,32.5
1387,Dell Inc.,"PowerEdge R610 (Intel Xeon E5506, 2.13 GHz)",Yes,8,2,4,1,23.6,24.8
1388,Dell Inc.,"PowerEdge R805 (AMD Opteron 2393 SE, 3.10 GHz)",Yes,8,2,4,1,20.3,25.3
1389,Dell Inc.,"PowerEdge T610 (Intel Xeon E5504, 2.00 GHz)",Yes,8,2,4,1,22.7,24.0
1390,Dell Inc.,"PowerEdge M905 (AMD Opteron 8393 SE, 3.10 GHz)",Yes,16,4,4,1,19.1,23.7
1391,Dell Inc.,"PowerEdge T610 (Intel Xeon E5502, 1.86 GHz)",Yes,4,2,2,1,20.6,21.7
1392,Dell Inc.,"PowerEdge M605 (AMD Opteron 2387, 2.80 GHz)",Yes,8,2,4,1,19.0,23.4
1393,Dell Inc.,"PowerEdge M905 (AMD Opteron 8389, 2.90 GHz)",Yes,16,4,4,1,18.3,22.5
1394,Dell Inc.,"PowerEdge SC1435 (AMD Opteron 2393 SE, 3.10 GHz)",Yes,8,2,4,1,20.2,24.9
